molecule,MPI,OMP,orbs,Coulomb dens,Coulomb pot,Allreduce pot,Total Fock
alkane_040,096,32,161,4.18478e-01,6.25843e+00,7.83163e+00,1.45143e+01
alkane_040,112,08,161,4.81146e-01,9.25424e+00,8.05462e+00,1.77960e+01
alkane_040,112,16,161,3.35430e-01,5.14055e+00,5.90751e+00,1.13880e+01
alkane_040,112,32,161,3.61307e-01,4.66224e+00,8.28206e+00,1.33109e+01
alkane_040,128,08,161,3.85268e-01,8.77404e+00,5.26493e+00,1.44278e+01
alkane_040,128,16,161,2.74996e-01,4.99763e+00,4.69786e+00,9.97562e+00
alkane_040,128,32,161,2.82063e-01,4.41498e+00,5.06200e+00,9.76383e+00
alkane_050,016,16,201,1.97460e+00,1.28101e+01,1.48996e+01,2.96895e+01
alkane_050,016,32,201,2.47397e+00,1.54184e+01,1.55023e+00,1.94493e+01
alkane_050,032,08,201,1.53340e+00,1.80056e+01,6.36791e+00,2.59112e+01
alkane_050,032,16,201,1.16348e+00,1.05163e+01,2.01890e+00,1.37029e+01
alkane_050,032,32,201,1.33604e+00,1.06855e+01,3.21618e+00,1.52446e+01
alkane_050,048,16,201,7.68127e-01,9.54126e+00,4.64175e+00,1.49564e+01
alkane_050,048,32,201,8.53920e-01,8.93629e+00,5.43269e+00,1.52287e+01
alkane_050,064,08,201,9.33733e-01,1.39544e+01,4.56051e+00,1.94541e+01
alkane_050,064,16,201,6.50208e-01,7.71744e+00,2.54072e+00,1.09140e+01
alkane_050,064,32,201,6.73370e-01,7.04657e+00,5.77677e+00,1.35016e+01
alkane_050,080,08,201,6.07228e-01,1.06618e+01,6.98221e+00,1.82555e+01
alkane_050,080,16,201,4.09162e-01,5.80988e+00,4.65451e+00,1.08780e+01
alkane_050,080,32,201,4.55936e-01,5.98694e+00,6.31155e+00,1.27611e+01
alkane_050,096,08,201,6.14306e-01,1.12129e+01,5.96246e+00,1.77939e+01
alkane_050,096,16,201,4.44347e-01,6.34071e+00,4.44910e+00,1.12389e+01
alkane_050,096,32,201,5.20122e-01,7.47004e+00,6.05284e+00,1.40495e+01
alkane_050,112,08,201,3.66493e-01,8.25374e+00,5.82072e+00,1.44449e+01
alkane_050,112,16,201,2.70682e-01,5.04685e+00,3.97606e+00,9.29778e+00
alkane_050,112,32,201,2.71691e-01,4.29148e+00,4.80756e+00,9.37579e+00
alkane_050,128,08,201,4.81417e-01,1.00496e+01,1.11988e+01,2.17339e+01
alkane_050,128,16,201,3.50422e-01,5.73050e+00,7.04232e+00,1.31273e+01
alkane_050,128,32,201,3.51076e-01,4.80032e+00,1.31760e+01,1.83326e+01
alkane_060,016,32,241,3.57508e+00,1.78106e+01,3.39484e+00,2.47895e+01
alkane_060,032,16,241,1.68285e+00,1.15312e+01,4.46153e+00,1.76829e+01
alkane_060,032,32,241,1.79820e+00,1.31429e+01,7.01866e+00,2.19678e+01
alkane_060,048,16,241,1.02123e+00,9.77820e+00,1.78531e+00,1.25922e+01
alkane_060,048,32,241,1.01035e+00,8.94835e+00,2.20004e+00,1.21659e+01
alkane_060,064,08,241,1.10718e+00,1.59884e+01,3.97357e+00,2.10743e+01
alkane_060,064,16,241,7.86529e-01,8.75371e+00,5.66329e+00,1.52084e+01
alkane_060,064,32,241,7.56286e-01,7.86733e+00,6.78790e+00,1.54221e+01
alkane_060,080,08,241,1.20860e+00,1.71388e+01,2.00956e+00,2.03623e+01
alkane_060,080,16,241,8.52088e-01,9.43235e+00,1.90513e+00,1.21943e+01
alkane_060,080,32,241,9.55814e-01,9.47460e+00,2.30405e+00,1.27411e+01
alkane_060,096,08,241,7.26317e-01,1.32545e+01,7.69721e+00,2.16829e+01
alkane_060,096,16,241,5.14664e-01,7.02926e+00,5.34967e+00,1.29009e+01
alkane_060,096,32,241,5.88245e-01,7.36475e+00,4.53361e+00,1.24923e+01
alkane_060,112,08,241,6.20483e-01,1.16641e+01,7.59867e+00,1.98929e+01
alkane_060,112,16,241,4.43191e-01,6.72028e+00,2.26702e+00,9.43527e+00
alkane_060,112,32,241,4.84616e-01,6.67686e+00,3.10138e+00,1.02695e+01
alkane_060,128,08,241,3.73906e-01,8.89920e+00,8.12331e+00,1.74055e+01
alkane_060,128,16,241,2.62135e-01,5.06632e+00,4.34760e+00,9.68097e+00
alkane_060,128,32,241,2.71121e-01,4.70753e+00,5.40222e+00,1.03891e+01
alkane_070,032,16,281,1.50495e+00,1.13272e+01,3.71189e+00,1.65493e+01
alkane_070,032,32,281,1.94561e+00,1.43475e+01,8.96361e+00,2.52637e+01
alkane_070,048,16,281,1.25256e+00,1.13929e+01,2.45083e+00,1.51020e+01
alkane_070,048,32,281,1.24056e+00,8.58725e+00,3.76950e+00,1.36038e+01
alkane_070,064,08,281,1.19653e+00,1.67652e+01,1.34526e+01,3.14202e+01
alkane_070,064,16,281,8.17751e-01,8.99829e+00,7.41681e+00,1.72385e+01
alkane_070,064,32,281,8.98578e-01,9.12753e+00,1.04948e+01,2.05291e+01
alkane_070,080,16,281,6.72806e-01,8.25265e+00,6.74895e+00,1.56809e+01
alkane_070,080,32,281,6.73939e-01,6.82303e+00,7.56446e+00,1.50681e+01
alkane_070,096,08,281,7.93223e-01,1.34696e+01,2.95561e+00,1.72235e+01
alkane_070,096,16,281,5.49182e-01,7.43807e+00,2.77951e+00,1.07753e+01
alkane_070,096,32,281,6.17236e-01,7.24811e+00,4.39619e+00,1.22693e+01
alkane_070,112,08,281,6.48558e-01,1.28476e+01,1.55635e+01,2.90648e+01
alkane_070,112,16,281,4.62798e-01,7.31450e+00,8.54312e+00,1.63259e+01
alkane_070,112,32,281,5.42226e-01,8.52456e+00,1.19224e+01,2.09985e+01
alkane_070,128,08,281,5.78416e-01,1.08858e+01,1.03597e+01,2.18309e+01
alkane_070,128,16,281,4.24020e-01,6.23828e+00,8.86099e+00,1.55280e+01
alkane_070,128,32,281,4.65328e-01,6.07776e+00,9.13155e+00,1.56814e+01
alkane_070,144,08,281,3.32387e-01,8.29869e+00,4.29047e+00,1.29318e+01
alkane_070,144,16,281,2.44186e-01,4.86606e+00,2.87018e+00,7.98765e+00
alkane_070,144,32,281,2.64533e-01,4.98009e+00,3.82088e+00,9.07565e+00
alkane_090,064,32,361,1.20203e+00,1.16344e+01,9.63413e+00,2.24805e+01
alkane_090,080,32,361,8.84321e-01,9.32240e+00,1.83711e+01,2.85874e+01
alkane_090,096,32,361,7.57876e-01,8.17029e+00,1.23068e+01,2.12466e+01
alkane_090,112,16,361,6.97685e-01,9.12815e+00,1.31698e+01,2.30024e+01
alkane_090,112,32,361,8.64237e-01,1.12551e+01,6.47094e+00,1.86023e+01
alkane_090,128,16,361,5.54677e-01,8.16452e+00,3.47913e+00,1.22090e+01
alkane_090,128,32,361,5.58979e-01,7.77886e+00,8.18892e+00,1.65354e+01
alkane_090,144,16,361,4.18838e-01,7.27675e+00,1.31065e+01,2.08110e+01
alkane_090,144,32,361,4.98057e-01,8.34221e+00,1.62767e+01,2.51276e+01
alkane_090,160,08,361,6.78862e-01,1.28156e+01,1.18265e+01,2.53274e+01
alkane_090,160,16,361,4.67773e-01,7.29698e+00,1.42739e+01,2.20450e+01
alkane_090,160,32,361,5.30515e-01,6.95257e+00,8.46744e+00,1.59606e+01
